pdb_id,category,difficulty
1CGI_E_I,EI,1
1IJK_A_BC,ER,1
1JIW_P_I,EI,1
1KKL_ABC_H,ES,1
1M10_A_B,ER,1
1NW9_B_A,ER,1
1R6Q_A_C,ER,1
1ZM4_A_B,ES,1
2NZ8_A_B,ER,1
2Z0E_A_B,ER,1
4FZA_A_B,ER,1
4IZ7_A_B,EI,1
4LW4_AB_C,ES,1
1B6C_A_B,OX,1
1FC2_C_D,OX,1
1GP2_A_BG,OG,1
1GRN_A_B,OG,1
1HE8_B_A,OG,1
1I2M_A_B,OG,1
1IB1_AB_E,OX,1
1K5D_AB_C,OG,1
1LFD_B_A,OG,1
1MQ8_A_B,OX,1
1N2C_ABCD_EF,OX,1
1SYX_A_B,OX,1
1WQ1_R_G,OG,1
1XQS_A_C,OX,1
2CFH_A_C,OX,1
2H7V_A_C,OG,1
2HRK_A_B,OX,1
2OZA_B_A,OX,1
3AAA_AB_C,OX,1
3AAD_A_D,OX,1
3BX7_A_C,OX,1
3CPH_G_A,OG,1
3DAW_A_B,OX,1
3R9A_AC_B,OR,1
3S9D_B_A,OR,1
3SZK_DE_F,OX,1
4JCV_ADBC_E,OX,1
2FJG_HL_VW,AA,2
4DW2_HL_U,AA,2
5C7X_HL_A,AA,2
1ACB_E_I,EI,2
1F6M_A_C,ES,2
1FQ1_A_B,ES,2
1JK9_B_A,ES,2
1JMO_A_HL,ER,2
1JZD_AB_C,ER,2
1PXV_A_C,EI,2
1ZLI_A_B,EI,2
2IDO_A_B,ES,2
2O3B_A_B,EI,2
2OT3_B_A,ER,2
3FN1_B_A,ER,2
3H11_BC_A,ER,2
4GAM_AFBGCH_D,ER,2
1ATN_A_D,OX,2
1BKD_R_S,OG,2
1DE4_AB_CF,OX,2
1E4K_AB_C,OR,2
1EER_A_BC,OR,2
1FAK_HL_T,OR,2
1H1V_A_G,OX,2
1IBR_A_B,OG,2
1IRA_Y_X,OR,2
1R8S_A_E,OG,2
1RKE_A_B,OX,2
1Y64_A_B,OX,2
2C0L_A_B,OX,2
2I9B_E_A,OR,2
2J7P_A_D,OX,2
3AAD_A_B,OX,2
3F1P_A_B,OX,2
3L89_ABC_M,OR,2
